fecha,euribor_a_12_meses%
2024-01-01,
2024-01-02,3.532
2024-01-03,3.545
2024-01-04,3.544
2024-01-05,3.584
2024-01-08,3.616
2024-01-09,3.601
2024-01-10,3.635
2024-01-11,3.654
2024-01-12,3.636
2024-01-15,3.57
2024-01-16,3.596
2024-01-17,3.596
2024-01-18,3.66
2024-01-19,3.655
2024-01-22,3.672
2024-01-23,3.665
2024-01-24,3.676
2024-01-25,3.662
2024-01-26,3.597
2024-01-29,3.582
2024-01-30,3.553
2024-01-31,3.572
2024-02-01,3.505
2024-02-02,3.537
2024-02-05,3.633
2024-02-06,3.667
2024-02-07,3.656
2024-02-08,3.64
2024-02-09,3.658
2024-02-12,3.678
2024-02-13,3.655
2024-02-14,3.692
2024-02-15,3.662
2024-02-16,3.648
2024-02-19,3.67
2024-02-20,3.686
2024-02-21,3.695
2024-02-22,3.697
2024-02-23,3.738
2024-02-26,3.732
2024-02-27,3.735
2024-02-28,3.748
2024-02-29,3.749
2024-03-01,3.744
2024-03-04,3.732
2024-03-05,3.751
2024-03-06,3.748
2024-03-07,3.746
2024-03-08,3.745
2024-03-11,3.703
2024-03-12,3.712
2024-03-13,3.702
2024-03-14,3.701
2024-03-15,3.709
2024-03-18,3.75
2024-03-19,3.756
2024-03-20,3.755
2024-03-21,3.735
2024-03-22,3.682
2024-03-25,3.658
2024-03-26,3.675
2024-03-27,3.684
2024-03-28,3.669
2024-03-29,
2024-04-01,
2024-04-02,3.664
2024-04-03,3.648
2024-04-04,3.663
2024-04-05,3.656
2024-04-08,3.673
2024-04-09,3.695
2024-04-10,3.689
2024-04-11,3.729
2024-04-12,3.748
2024-04-15,3.693
2024-04-16,3.702
2024-04-17,3.72
2024-04-18,3.731
2024-04-19,3.732
2024-04-22,3.734
2024-04-23,3.718
2024-04-24,3.701
2024-04-25,3.728
2024-04-26,3.724
2024-04-29,3.726
2024-04-30,3.696
2024-05-01,
2024-05-02,3.728
2024-05-03,3.693
2024-05-06,3.658
2024-05-07,3.647
2024-05-08,3.642
2024-05-09,3.628
2024-05-10,3.629
2024-05-13,3.654
2024-05-14,3.638
2024-05-15,3.679
2024-05-16,3.65
2024-05-17,3.645
2024-05-20,3.673
2024-05-21,3.68
2024-05-22,3.67
2024-05-23,3.702
2024-05-24,3.729
2024-05-27,3.74
2024-05-28,3.722
2024-05-29,3.716
2024-05-30,3.729
2024-05-31,3.711
2024-06-03,3.722
2024-06-04,3.715
2024-06-05,3.69
2024-06-06,3.684
2024-06-07,3.701
2024-06-10,3.725
2024-06-11,3.728
2024-06-12,3.719
2024-06-13,3.678
2024-06-14,3.672
2024-06-17,3.628
2024-06-18,3.6
2024-06-19,3.613
2024-06-20,3.608
2024-06-21,3.622
2024-06-24,3.58
2024-06-25,3.578
2024-06-26,3.576
2024-06-27,3.575
2024-06-28,3.578
2024-07-01,3.567
2024-07-02,3.589
2024-07-03,3.596
2024-07-04,3.592
2024-07-05,3.588
2024-07-08,3.599
2024-07-09,3.593
2024-07-10,3.602
2024-07-11,3.595
2024-07-12,3.564
2024-07-15,3.522
2024-07-16,3.506
2024-07-17,3.503
2024-07-18,3.503
2024-07-19,3.502
2024-07-22,3.511
2024-07-23,3.508
2024-07-24,3.528
2024-07-25,3.481
2024-07-26,3.426
2024-07-29,3.425
2024-07-30,3.406
2024-07-31,3.39
2024-08-01,3.349
2024-08-02,3.32
2024-08-05,3.238
