datetime,fecha,tramo,DOMICILIO,LLEVAR,LOCAL,RECOGER
2024-01-01 13:00:00,2024-01-01,13:00 - 13:14,1,0,0,0
2024-01-01 13:15:00,2024-01-01,13:15 - 13:29,3,0,0,0
2024-01-01 13:30:00,2024-01-01,13:30 - 13:44,0,0,0,0
2024-01-01 13:45:00,2024-01-01,13:45 - 13:59,1,0,0,0
2024-01-01 14:00:00,2024-01-01,14:00 - 14:14,2,0,0,2
2024-01-01 14:15:00,2024-01-01,14:15 - 14:29,4,0,0,0
2024-01-01 14:30:00,2024-01-01,14:30 - 14:44,1,2,0,0
2024-01-01 14:45:00,2024-01-01,14:45 - 14:59,1,0,0,0
2024-01-01 15:00:00,2024-01-01,15:00 - 15:14,0,2,0,0
2024-01-01 15:15:00,2024-01-01,15:15 - 15:29,0,0,0,0
2024-01-01 15:30:00,2024-01-01,15:30 - 15:44,2,0,0,0
2024-01-01 15:45:00,2024-01-01,15:45 - 15:59,0,1,0,0
2024-01-01 17:45:00,2024-01-01,17:45 - 17:59,1,0,0,0
2024-01-01 18:45:00,2024-01-01,18:45 - 18:59,0,0,0,0
2024-01-01 19:00:00,2024-01-01,19:00 - 19:14,4,0,0,1
2024-01-01 19:15:00,2024-01-01,19:15 - 19:29,1,0,0,0
2024-01-01 19:30:00,2024-01-01,19:30 - 19:44,2,0,0,0
2024-01-01 19:45:00,2024-01-01,19:45 - 19:59,2,2,1,1
2024-01-01 20:00:00,2024-01-01,20:00 - 20:14,1,1,0,0
2024-01-01 20:15:00,2024-01-01,20:15 - 20:29,4,1,2,0
2024-01-01 20:30:00,2024-01-01,20:30 - 20:44,3,0,0,0
2024-01-01 20:45:00,2024-01-01,20:45 - 20:59,1,2,0,3
2024-01-01 21:00:00,2024-01-01,21:00 - 21:14,9,1,0,0
2024-01-01 21:15:00,2024-01-01,21:15 - 21:29,6,0,0,2
2024-01-01 21:30:00,2024-01-01,21:30 - 21:44,3,0,3,0
2024-01-01 21:45:00,2024-01-01,21:45 - 21:59,4,1,1,0
2024-01-01 22:00:00,2024-01-01,22:00 - 22:14,1,2,1,2
2024-01-01 22:15:00,2024-01-01,22:15 - 22:29,0,1,1,0
2024-01-01 22:30:00,2024-01-01,22:30 - 22:44,0,1,0,1
2024-01-01 22:45:00,2024-01-01,22:45 - 22:59,0,0,0,0
2024-01-01 23:00:00,2024-01-01,23:00 - 23:14,0,0,0,1
2024-01-01 23:15:00,2024-01-01,23:15 - 23:29,1,0,0,0
2024-01-02 13:00:00,2024-01-02,13:00 - 13:14,0,0,0,0
2024-01-02 13:15:00,2024-01-02,13:15 - 13:29,1,0,0,0
2024-01-02 13:30:00,2024-01-02,13:30 - 13:44,0,0,1,1
2024-01-02 13:45:00,2024-01-02,13:45 - 13:59,0,0,1,0
2024-01-02 14:00:00,2024-01-02,14:00 - 14:14,0,0,0,0
2024-01-02 14:15:00,2024-01-02,14:15 - 14:29,1,0,1,0
2024-01-02 14:30:00,2024-01-02,14:30 - 14:44,1,0,0,0
2024-01-02 14:45:00,2024-01-02,14:45 - 14:59,1,0,0,0
2024-01-02 15:00:00,2024-01-02,15:00 - 15:14,0,0,0,0
2024-01-02 15:15:00,2024-01-02,15:15 - 15:29,0,0,0,0
2024-01-02 15:30:00,2024-01-02,15:30 - 15:44,0,0,0,0
2024-01-02 15:45:00,2024-01-02,15:45 - 15:59,0,0,0,0
2024-01-02 17:45:00,2024-01-02,17:45 - 17:59,0,0,0,0
2024-01-02 18:45:00,2024-01-02,18:45 - 18:59,0,0,0,0
2024-01-02 19:00:00,2024-01-02,19:00 - 19:14,0,0,0,0
2024-01-02 19:15:00,2024-01-02,19:15 - 19:29,1,0,0,2
2024-01-02 19:30:00,2024-01-02,19:30 - 19:44,1,0,0,2
2024-01-02 19:45:00,2024-01-02,19:45 - 19:59,2,0,0,1
2024-01-02 20:00:00,2024-01-02,20:00 - 20:14,0,1,0,1
2024-01-02 20:15:00,2024-01-02,20:15 - 20:29,0,0,0,2
2024-01-02 20:30:00,2024-01-02,20:30 - 20:44,1,0,1,2
2024-01-02 20:45:00,2024-01-02,20:45 - 20:59,3,0,1,1
2024-01-02 21:00:00,2024-01-02,21:00 - 21:14,2,0,0,4
2024-01-02 21:15:00,2024-01-02,21:15 - 21:29,2,1,1,5
2024-01-02 21:30:00,2024-01-02,21:30 - 21:44,1,0,1,1
2024-01-02 21:45:00,2024-01-02,21:45 - 21:59,1,1,0,1
2024-01-02 22:00:00,2024-01-02,22:00 - 22:14,2,1,0,0
2024-01-02 22:15:00,2024-01-02,22:15 - 22:29,0,2,0,1
2024-01-02 22:30:00,2024-01-02,22:30 - 22:44,0,0,0,0
2024-01-02 22:45:00,2024-01-02,22:45 - 22:59,0,0,0,0
2024-01-02 23:00:00,2024-01-02,23:00 - 23:14,0,0,0,0
2024-01-02 23:15:00,2024-01-02,23:15 - 23:29,0,0,0,0
2024-01-03 13:00:00,2024-01-03,13:00 - 13:14,0,1,0,0
2024-01-03 13:15:00,2024-01-03,13:15 - 13:29,0,0,0,0
2024-01-03 13:30:00,2024-01-03,13:30 - 13:44,1,0,0,0
2024-01-03 13:45:00,2024-01-03,13:45 - 13:59,0,1,0,0
