Fecha,HoraMin,TempMedia,HumedadMedia,VelViento,DirViento,Radiacion,Precipitacion,TempSuelo1,TempSuelo2,Estacion
31/12/2023,30,8.54,92,0.454,320,0,0,,,A09
31/12/2023,1330,18.17,34.71,1.036,190.3,302.7,0,,,A09
31/12/2023,1400,18.66,34.47,1.608,208.5,329.9,0,,,A09
31/12/2023,1430,19.55,33.26,1.316,209.2,297,0,,,A09
31/12/2023,1500,20.06,32.81,0.702,232.5,167.2,0,,,A09
31/12/2023,1530,19.17,33.68,1.125,191.5,118.5,0,,,A09
31/12/2023,1600,18.17,36.1,0.366,147.3,60.59,0,,,A09
31/12/2023,1630,17.21,40.3,0.841,76,27.2,0,,,A09
31/12/2023,1700,17.4,45.96,0.698,35.26,5.05,0,,,A09
31/12/2023,1730,16.94,49.67,0.411,302.1,0.164,0,,,A09
31/12/2023,1300,18.17,32.88,0.891,228.4,362.5,0,,,A09
31/12/2023,1800,15.48,51.1,0.494,152.7,0,0,,,A09
31/12/2023,1900,14.71,51.02,0.509,45.13,0,0,,,A09
31/12/2023,1930,14.65,50.83,0.378,310.3,0,0,,,A09
31/12/2023,2000,13.67,56.02,0.438,323.3,0,0,,,A09
31/12/2023,2030,13.67,56.51,0.648,39.6,0,0,,,A09
31/12/2023,2100,13.11,57.33,0.59,306.6,0,0,,,A09
31/12/2023,2130,13.07,57.13,0.534,9.68,0,0,,,A09
31/12/2023,2200,13.74,55.35,0.552,320.3,0,0,,,A09
31/12/2023,2230,12.62,58.94,0.721,333.5,0,0,,,A09
31/12/2023,2300,13.07,57.42,0.662,14.87,0,0,,,A09
31/12/2023,1830,15.39,50.23,0.233,222.1,0,0,,,A09
31/12/2023,1230,16.79,37.94,1.124,224.5,363.3,0,,,A09
31/12/2023,1200,15.82,42.03,0.783,239.6,335.2,0,,,A09
31/12/2023,1130,14.24,47.69,0.529,183.4,355,0,,,A09
31/12/2023,100,7.67,91.8,0.19,298.1,0,0,,,A09
31/12/2023,130,7.18,92.6,0.436,32.32,0,0,,,A09
31/12/2023,200,6.8,92.9,0.602,332.5,0,0,,,A09
