datetime,fecha,hora,domicilio,recoger,temp_media,humedad_media,vel_viento,radiacion,dia_semana,dia_mes,semana_mes,quincena,mes,estacion,total_pedidos,tiene_partido,partido_en_curso,partido_en_curso_importante,tiene_partido_importante,partido_importante_30min_antes,partido_importante_30min_despues,partido_importante_60min_antes,partido_importante_60min_despues,partido_importante_90min_antes,partido_importante_90min_despues,competicion_copa_de_la_reina,competicion_copa_del_rey,competicion_laliga_ea_sports,competicion_laliga_hypermotion,competicion_liga_femenina,competicion_supercopa_de_españa,competicion_supercopa_de_europa,competicion_uefa_champions_league,competicion_uefa_euro_2024,competicion_uefa_europa_conference_league,competicion_uefa_europa_league,es_festivo
2024-01-01 13:00:00,2024-01-01,13:00:00,4,0,16.6,50.57,1.078,434.1,0,1,1,1,1,3,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 13:30:00,2024-01-01,13:30:00,1,0,17.37,48.34,1.487,422.9,0,1,1,1,1,3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 14:00:00,2024-01-01,14:00:00,6,2,17.7,47.47,1.459,402.4,0,1,1,1,1,3,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 14:30:00,2024-01-01,14:30:00,2,2,18.53,35.82,1.578,381.7,0,1,1,1,1,3,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 15:00:00,2024-01-01,15:00:00,0,2,18.71,35.57,1.289,334.6,0,1,1,1,1,3,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 15:30:00,2024-01-01,15:30:00,2,1,18.82,34.19,0.9,272.5,0,1,1,1,1,3,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 17:30:00,2024-01-01,17:30:00,1,0,16.28,38.9,0.125,8.66,0,1,1,1,1,3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 18:30:00,2024-01-01,18:30:00,0,0,13.81,49.39,0.277,0.0,0,1,1,1,1,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 19:00:00,2024-01-01,19:00:00,5,1,12.99,60.5,0.137,0.0,0,1,1,1,1,3,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 19:30:00,2024-01-01,19:30:00,4,4,12.3,64.73,0.582,0.0,0,1,1,1,1,3,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 20:00:00,2024-01-01,20:00:00,5,4,12.15,64.02,0.652,0.0,0,1,1,1,1,3,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 20:30:00,2024-01-01,20:30:00,4,5,12.22,58.68,0.78,0.0,0,1,1,1,1,3,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 21:00:00,2024-01-01,21:00:00,15,3,12.09,53.48,0.361,0.0,0,1,1,1,1,3,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 21:30:00,2024-01-01,21:30:00,7,5,11.91,53.41,0.847,0.0,0,1,1,1,1,3,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 22:00:00,2024-01-01,22:00:00,1,7,10.37,57.79,0.473,0.0,0,1,1,1,1,3,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 22:30:00,2024-01-01,22:30:00,0,2,11.2,54.98,0.65,0.0,0,1,1,1,1,3,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-01 23:00:00,2024-01-01,23:00:00,1,1,10.24,57.38,1.175,0.0,0,1,1,1,1,3,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-02 13:00:00,2024-01-02,13:00:00,1,0,17.77,34.51,1.23,537.8,1,2,1,1,1,3,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 13:30:00,2024-01-02,13:30:00,0,3,19.72,30.53,1.766,504.0,1,2,1,1,1,3,3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 14:00:00,2024-01-02,14:00:00,1,1,19.51,31.02,1.238,230.7,1,2,1,1,1,3,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 14:30:00,2024-01-02,14:30:00,2,0,19.09,28.67,1.278,208.9,1,2,1,1,1,3,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 15:00:00,2024-01-02,15:00:00,0,0,18.98,27.11,1.049,214.9,1,2,1,1,1,3,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 15:30:00,2024-01-02,15:30:00,0,0,18.59,28.08,1.216,171.0,1,2,1,1,1,3,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 17:30:00,2024-01-02,17:30:00,0,0,17.2,33.0,0.573,12.27,1,2,1,1,1,3,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 18:30:00,2024-01-02,18:30:00,0,0,15.46,33.38,0.473,0.0,1,2,1,1,1,3,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 19:00:00,2024-01-02,19:00:00,1,2,14.3,40.34,0.272,0.0,1,2,1,1,1,3,3,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 19:30:00,2024-01-02,19:30:00,3,3,13.24,41.57,0.667,0.0,1,2,1,1,1,3,6,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 20:00:00,2024-01-02,20:00:00,0,4,12.93,43.79,0.441,0.0,1,2,1,1,1,3,4,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 20:30:00,2024-01-02,20:30:00,4,5,12.42,45.62,0.681,0.0,1,2,1,1,1,3,9,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2024-01-02 21:00:00,2024-01-02,21:00:00,4,11,12.95,41.89,0.731,0.0,1,2,1,1,1,3,15,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 21:30:00,2024-01-02,21:30:00,2,4,12.51,44.39,0.386,0.0,1,2,1,1,1,3,6,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 22:00:00,2024-01-02,22:00:00,2,4,12.02,48.37,0.126,0.0,1,2,1,1,1,3,6,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 22:30:00,2024-01-02,22:30:00,0,0,11.53,50.34,0.376,0.0,1,2,1,1,1,3,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-02 23:00:00,2024-01-02,23:00:00,0,0,10.48,54.04,0.236,0.0,1,2,1,1,1,3,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-03 13:00:00,2024-01-03,13:00:00,0,1,21.34,33.67,1.919,430.1,2,3,1,1,1,3,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-03 13:30:00,2024-01-03,13:30:00,1,1,22.03,32.36,2.12,422.1,2,3,1,1,1,3,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-03 14:00:00,2024-01-03,14:00:00,0,1,22.97,31.33,1.975,406.7,2,3,1,1,1,3,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-03 14:30:00,2024-01-03,14:30:00,1,3,23.35,30.61,1.862,378.0,2,3,1,1,1,3,4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-03 15:00:00,2024-01-03,15:00:00,0,0,23.8,29.79,1.419,326.0,2,3,1,1,1,3,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024-01-03 15:30:00,2024-01-03,15:30:00,0,0,23.84,29.36,1.114,257.2,2,3,1,1,1,3,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
