datetime,local,visitante,competicion,temporada_slug,jornada,evento_importante,datetime_m30,datetime_p30,datetime_m60,datetime_p60,datetime_m90,datetime_p90
2024-01-02 20:30:00,val,vil,laliga_ea_sports,laliga_easports_2023,19,True,2024-01-02 20:00:00,2024-01-02 21:00:00,2024-01-02 19:30:00,2024-01-02 21:30:00,2024-01-02 19:00:00,2024-01-02 22:00:00
2024-01-03 20:30:00,gir,atm,laliga_ea_sports,laliga_easports_2023,19,True,2024-01-03 20:00:00,2024-01-03 21:00:00,2024-01-03 19:30:00,2024-01-03 21:30:00,2024-01-03 19:00:00,2024-01-03 22:00:00
2024-01-07 20:00:00,bar,bar,copa_del_rey,copa_del_rey_2023,3,True,2024-01-07 19:30:00,2024-01-07 20:30:00,2024-01-07 19:00:00,2024-01-07 21:00:00,2024-01-07 18:30:00,2024-01-07 21:30:00
2024-01-18 20:30:00,atm,rma,copa_del_rey,copa_del_rey_2023,4,True,2024-01-18 20:00:00,2024-01-18 21:00:00,2024-01-18 19:30:00,2024-01-18 21:30:00,2024-01-18 19:00:00,2024-01-18 22:00:00
2024-01-21 20:00:00,gir,sev,laliga_ea_sports,laliga_easports_2023,21,True,2024-01-21 19:30:00,2024-01-21 20:30:00,2024-01-21 19:00:00,2024-01-21 21:00:00,2024-01-21 18:30:00,2024-01-21 21:30:00
2024-01-24 20:30:00,ath,bar,copa_del_rey,copa_del_rey_2023,5,True,2024-01-24 20:00:00,2024-01-24 21:00:00,2024-01-24 19:30:00,2024-01-24 21:30:00,2024-01-24 19:00:00,2024-01-24 22:00:00
2024-01-25 20:00:00,atm,sev,copa_del_rey,copa_del_rey_2023,5,True,2024-01-25 19:30:00,2024-01-25 20:30:00,2024-01-25 19:00:00,2024-01-25 21:00:00,2024-01-25 18:30:00,2024-01-25 21:30:00
2024-01-28 20:00:00,atm,val,laliga_ea_sports,laliga_easports_2023,22,True,2024-01-28 19:30:00,2024-01-28 20:30:00,2024-01-28 19:00:00,2024-01-28 21:00:00,2024-01-28 18:30:00,2024-01-28 21:30:00
2024-02-03 20:00:00,gir,rso,laliga_ea_sports,laliga_easports_2023,23,True,2024-02-03 19:30:00,2024-02-03 20:30:00,2024-02-03 19:00:00,2024-02-03 21:00:00,2024-02-03 18:30:00,2024-02-03 21:30:00
2024-02-04 20:00:00,rma,atm,laliga_ea_sports,laliga_easports_2023,23,True,2024-02-04 19:30:00,2024-02-04 20:30:00,2024-02-04 19:00:00,2024-02-04 21:00:00,2024-02-04 18:30:00,2024-02-04 21:30:00
