Fecha,HoraMin,TempMedia,HumedadMedia,VelViento,DirViento,Radiacion,Precipitacion,TempSuelo1,TempSuelo2,Estacion
2024-07-17,30,25.43,82.2,0.598,132.4,0.0,0.0,,,A09
2024-07-17,1330,29.66,59.75,2.549,103.3,566.2,0.0,,,A09
2024-07-17,1400,30.06,57.62,2.289,107.7,678.3,0.0,,,A09
2024-07-17,1430,30.44,56.2,2.285,103.3,589.2,0.0,,,A09
2024-07-17,1500,30.13,57.71,2.47,92.8,523.4,0.0,,,A09
2024-07-17,1530,30.13,57.24,2.528,99.8,588.1,0.0,,,A09
2024-07-17,1600,30.24,56.24,2.641,96.5,527.2,0.0,,,A09
2024-07-17,1630,29.7,57.02,2.395,94.8,447.6,0.0,,,A09
2024-07-17,1700,29.53,57.67,2.192,106.3,356.8,0.0,,,A09
2024-07-17,1730,28.98,58.48,2.125,103.6,270.2,0.0,,,A09
2024-07-17,1830,28.04,62.46,1.813,99.9,113.2,0.0,,,A09
2024-07-17,1900,27.3,64.74,1.703,92.2,49.26,0.0,,,A09
2024-07-17,1930,26.79,64.49,1.253,99.7,11.66,0.0,,,A09
2024-07-17,2000,26.34,66.48,1.281,79.6,0.687,0.0,,,A09
2024-07-17,2030,26.36,63.63,1.538,68.81,0.02,0.0,,,A09
2024-07-17,2100,26.16,64.82,0.951,58.95,0.011,0.0,,,A09
2024-07-17,2130,25.87,62.14,0.774,51.22,0.0,0.0,,,A09
2024-07-17,2200,25.54,62.57,0.488,43.16,0.0,0.0,,,A09
2024-07-17,2230,25.32,61.72,0.257,46.87,0.0,0.0,,,A09
2024-07-17,2300,24.73,63.73,0.053,63.84,0.0,0.0,,,A09
2024-07-17,2330,24.27,64.69,0.04,291.9,0.0,0.0,,,A09
2024-07-17,2400,24.22,64.4,0.42,299.2,0.0,0.0,,,A09
2024-07-17,1300,30.44,57.36,2.555,108.3,729.0,0.0,,,A09
2024-07-17,1230,30.44,57.8,2.783,103.7,730.0,0.0,,,A09
2024-07-17,1800,28.71,59.2,1.971,95.2,184.0,0.0,,,A09
2024-07-17,1130,30.46,56.66,2.64,102.4,712.0,0.0,,,A09
2024-07-17,1200,30.46,56.51,2.719,102.0,677.1,0.0,,,A09
2024-07-17,130,24.87,83.1,0.103,311.5,0.0,0.0,,,A09
2024-07-17,200,24.65,83.8,0.15,320.4,0.0,0.0,,,A09
2024-07-17,230,24.49,83.8,0.272,303.7,0.0,0.0,,,A09
2024-07-17,300,24.35,84.2,0.293,321.0,0.0,0.0,,,A09
2024-07-17,330,24.13,83.8,0.276,316.5,0.007,0.0,,,A09
2024-07-17,400,24.0,83.7,0.383,305.6,0.014,0.0,,,A09
2024-07-17,430,24.06,83.3,0.264,310.3,0.011,0.0,,,A09
2024-07-17,500,23.84,83.7,0.216,109.6,1.793,0.0,,,A09
2024-07-17,530,23.87,83.5,0.823,80.4,20.96,0.0,,,A09
2024-07-17,600,24.58,80.1,0.584,127.7,69.83,0.0,,,A09
2024-07-17,100,25.25,82.1,0.363,161.8,0.0,0.0,,,A09
2024-07-17,700,25.63,77.3,0.929,190.7,178.6,0.0,,,A09
2024-07-17,730,25.78,77.9,1.366,205.8,235.2,0.0,,,A09
2024-07-17,800,26.73,75.6,1.159,223.7,311.7,0.0,,,A09
2024-07-17,830,27.33,71.7,1.061,209.2,326.1,0.0,,,A09
2024-07-17,900,28.2,63.08,0.881,298.1,569.7,0.0,,,A09
2024-07-17,930,28.93,60.45,0.962,118.6,342.9,0.0,,,A09
2024-07-17,1000,29.22,59.64,1.357,107.6,357.3,0.0,,,A09
2024-07-17,1030,30.34,57.79,1.888,113.9,770.0,0.0,,,A09
2024-07-17,1100,30.6,56.85,2.002,113.1,757.0,0.0,,,A09
2024-07-17,630,25.25,78.6,0.478,169.9,132.1,0.0,,,A09
2024-07-18,1300,33.2,32.82,1.375,140.7,807.0,0.0,,,A09
2024-07-18,1700,32.38,38.02,1.398,121.7,333.0,0.0,,,A09
2024-07-18,1630,32.78,36.95,1.302,137.5,426.2,0.0,,,A09
2024-07-18,1600,33.67,34.62,1.601,151.1,505.3,0.0,,,A09
2024-07-18,1330,33.82,28.95,1.493,116.0,798.0,0.0,,,A09
2024-07-18,1500,34.4,28.66,1.6,128.8,651.1,0.0,,,A09
2024-07-18,1430,34.8,26.68,1.633,115.4,709.0,0.0,,,A09
2024-07-18,1400,34.85,25.0,1.455,115.9,762.0,0.0,,,A09
2024-07-18,1730,31.65,42.35,1.346,118.2,232.1,0.0,,,A09
2024-07-18,1530,34.02,32.26,1.413,134.6,578.3,0.0,,,A09
2024-07-18,1830,30.14,54.57,0.923,125.0,84.8,0.0,,,A09
2024-07-18,2100,26.7,74.6,0.344,220.2,0.043,0.0,,,A09
2024-07-18,1930,28.6,61.14,0.529,190.1,7.21,0.0,,,A09
2024-07-18,2000,27.88,65.87,0.545,200.9,0.434,0.0,,,A09
2024-07-18,2030,27.15,71.5,0.76,208.8,0.021,0.0,,,A09
2024-07-18,2130,26.5,75.6,0.199,178.7,0.0,0.0,,,A09
2024-07-18,2200,26.1,77.2,0.425,191.8,0.0,0.0,,,A09
2024-07-18,2230,25.56,78.8,0.243,261.8,0.0,0.0,,,A09
2024-07-18,2300,25.36,80.5,0.171,25.11,0.0,0.0,,,A09
2024-07-18,2330,25.18,81.7,0.423,69.62,0.0,0.0,,,A09
2024-07-18,2400,25.14,77.6,0.262,23.94,0.0,0.0,,,A09
2024-07-18,1900,29.25,57.39,0.647,140.1,33.37,0.0,,,A09
2024-07-18,1230,32.58,34.45,1.396,110.4,824.0,0.0,,,A09
2024-07-18,1800,31.2,47.07,1.233,115.4,166.3,0.0,,,A09
2024-07-18,1130,31.4,45.14,1.415,125.9,788.0,0.0,,,A09
2024-07-18,100,24.31,63.4,0.184,347.5,0.0,0.0,,,A09
2024-07-18,130,24.12,66.15,0.24,9.08,0.0,0.0,,,A09
2024-07-18,200,23.74,66.66,0.105,19.95,0.0,0.0,,,A09
2024-07-18,230,23.38,67.67,0.183,318.6,0.0,0.0,,,A09
2024-07-18,300,23.4,67.69,0.155,338.6,0.0,0.0,,,A09
2024-07-18,330,23.09,69.44,0.327,34.49,0.004,0.0,,,A09
2024-07-18,400,23.16,69.17,0.039,343.0,0.002,0.0,,,A09
2024-07-18,430,22.88,68.37,0.596,61.12,0.0,0.0,,,A09
2024-07-18,500,22.9,66.43,0.337,111.6,1.312,0.0,,,A09
2024-07-18,530,22.01,70.6,0.876,281.0,14.73,0.0,,,A09
2024-07-18,600,22.21,69.76,0.718,278.7,52.55,0.0,,,A09
2024-07-18,30,24.04,65.99,0.391,302.1,0.0,0.0,,,A09
2024-07-18,630,23.08,68.37,0.243,300.0,106.0,0.0,,,A09
2024-07-18,1100,30.28,46.91,1.262,126.3,753.0,0.0,,,A09
2024-07-18,1030,29.91,48.59,1.33,146.3,707.0,0.0,,,A09
2024-07-18,1000,29.22,57.7,1.21,128.0,610.6,0.0,,,A09
2024-07-18,930,28.62,60.22,1.212,104.0,547.4,0.0,,,A09
2024-07-18,1200,32.13,40.54,1.45,106.5,809.0,0.0,,,A09
2024-07-18,830,27.26,65.47,1.145,126.6,425.5,0.0,,,A09
2024-07-18,800,26.6,59.21,0.593,134.5,333.5,0.0,,,A09
2024-07-18,730,24.96,59.8,0.77,304.2,243.0,0.0,,,A09
2024-07-18,700,24.36,62.17,0.418,93.4,170.4,0.0,,,A09
2024-07-18,900,27.59,64.22,1.185,112.4,502.2,0.0,,,A09
2024-07-19,1300,35.27,31.94,1.664,139.3,864.0,0.0,,,A09
2024-07-19,1330,35.14,28.8,1.496,135.5,843.0,0.0,,,A09
2024-07-19,1400,34.96,27.12,1.498,148.7,810.0,0.0,,,A09
2024-07-19,1430,35.08,26.03,1.528,134.5,767.0,0.0,,,A09
2024-07-19,1500,35.08,28.11,1.615,130.0,703.0,0.0,,,A09
2024-07-19,1530,34.32,30.38,1.503,122.8,633.7,0.0,,,A09
2024-07-19,1600,34.05,31.03,1.375,127.7,560.1,0.0,,,A09
2024-07-19,1630,34.01,24.45,1.1,123.1,473.6,0.0,,,A09
2024-07-19,1700,33.59,23.82,1.069,126.7,366.2,0.0,,,A09
2024-07-19,1730,33.48,26.03,0.891,138.9,285.1,0.0,,,A09
2024-07-19,1800,33.39,23.73,0.86,122.1,197.1,0.0,,,A09
2024-07-19,1900,31.9,29.5,0.486,119.8,46.13,0.0,,,A09
2024-07-19,1930,31.03,28.07,0.186,102.2,9.7,0.0,,,A09
2024-07-19,2000,29.92,32.04,0.033,305.4,0.599,0.0,,,A09
2024-07-19,2400,27.08,33.42,0.298,337.3,0.0,0.0,,,A09
2024-07-19,2100,28.14,45.51,0.069,291.7,0.107,0.0,,,A09
2024-07-19,2130,27.66,48.96,0.208,6.353,0.0,0.0,,,A09
2024-07-19,2200,27.39,49.46,0.162,356.4,0.0,0.0,,,A09
2024-07-19,2230,27.08,45.32,0.37,14.69,0.0,0.0,,,A09
2024-07-19,2300,26.99,43.25,0.469,354.5,0.0,0.0,,,A09
2024-07-19,2330,27.15,35.85,0.376,330.1,0.0,0.0,,,A09
2024-07-19,1230,35.27,31.45,1.478,133.0,866.0,0.0,,,A09
2024-07-19,1830,32.81,26.03,0.777,125.3,118.1,0.0,,,A09
2024-07-19,2030,28.96,41.04,0.243,50.13,0.032,0.0,,,A09
2024-07-19,1200,34.45,37.21,1.401,168.8,855.0,0.0,,,A09
2024-07-19,1100,33.22,34.56,1.066,153.4,802.0,0.0,,,A09
2024-07-19,1130,33.93,33.1,0.979,160.6,833.0,0.0,,,A09
2024-07-19,30,24.78,77.3,0.042,313.4,0.0,0.0,,,A09
2024-07-19,100,24.67,77.7,0.017,318.2,0.0,0.0,,,A09
2024-07-19,130,24.49,79.1,0.11,318.2,0.0,0.0,,,A09
2024-07-19,200,24.42,71.2,0.401,15.6,0.0,0.0,,,A09
2024-07-19,230,24.24,65.0,0.307,289.7,0.0,0.0,,,A09
2024-07-19,330,23.98,72.0,0.666,300.2,0.0,0.0,,,A09
2024-07-19,400,23.89,73.9,0.152,28.3,0.002,0.0,,,A09
2024-07-19,430,23.38,70.4,0.252,336.6,0.014,0.0,,,A09
2024-07-19,500,23.83,54.85,0.427,30.67,1.355,0.0,,,A09
2024-07-19,300,23.42,72.6,0.724,301.4,0.0,0.0,,,A09
2024-07-19,600,24.17,52.68,0.246,322.0,59.09,0.0,,,A09
2024-07-19,630,24.81,56.57,0.332,252.1,119.8,0.0,,,A09
2024-07-19,700,25.61,64.56,0.723,233.1,184.2,0.0,,,A09
2024-07-19,730,26.34,65.0,0.711,156.4,259.4,0.0,,,A09
2024-07-19,800,27.49,61.95,1.065,83.9,368.4,0.0,,,A09
2024-07-19,830,28.75,52.88,1.08,192.1,469.0,0.0,,,A09
2024-07-19,900,29.85,47.88,1.084,209.3,549.8,0.0,,,A09
2024-07-19,930,30.54,43.39,0.991,165.1,629.0,0.0,,,A09
2024-07-19,1000,31.31,41.86,1.062,208.1,695.4,0.0,,,A09
2024-07-19,530,23.79,50.69,0.531,43.67,16.71,0.0,,,A09
2024-07-19,1030,32.05,39.99,0.961,187.1,754.0,0.0,,,A09
2024-07-20,1730,34.5,40.54,1.987,94.5,262.1,0.0,,,A09
2024-07-20,1700,35.31,40.21,2.644,81.3,346.3,0.0,,,A09
2024-07-20,1630,39.44,18.87,1.547,130.7,438.5,0.0,,,A09
2024-07-20,1600,39.46,18.33,1.739,161.1,523.7,0.0,,,A09
2024-07-20,1330,35.48,40.39,2.054,103.4,820.0,0.0,,,A09
2024-07-20,1500,36.31,39.54,1.672,95.6,679.4,0.0,,,A09
2024-07-20,1430,35.77,43.22,2.054,96.2,734.0,0.0,,,A09
2024-07-20,1400,35.51,42.04,2.381,91.8,789.0,0.0,,,A09
2024-07-20,1800,32.96,47.98,2.331,79.8,177.0,0.0,,,A09
2024-07-20,1530,37.27,31.66,1.737,126.6,599.9,0.0,,,A09
2024-07-20,1830,31.94,50.78,2.044,88.7,102.4,0.0,,,A09
2024-07-20,2400,25.25,76.8,0.751,295.3,0.0,0.0,,,A09
2024-07-20,1930,29.56,59.84,1.421,93.9,9.59,0.0,,,A09
2024-07-20,2000,28.69,61.77,1.148,96.6,0.46,0.0,,,A09
2024-07-20,2030,27.93,66.72,1.302,94.4,0.029,0.0,,,A09
2024-07-20,2100,27.29,71.9,0.931,99.8,0.012,0.0,,,A09
2024-07-20,2130,26.74,74.4,0.64,103.0,0.0,0.0,,,A09
2024-07-20,2200,26.34,76.1,0.314,47.21,0.0,0.0,,,A09
2024-07-20,2230,25.87,77.2,0.27,283.3,0.0,0.0,,,A09
2024-07-20,2300,25.78,77.9,0.245,310.8,0.0,0.0,,,A09
2024-07-20,2330,25.61,78.5,0.185,290.3,0.0,0.0,,,A09
2024-07-20,1300,35.93,38.55,1.906,114.6,840.0,0.0,,,A09
2024-07-20,1900,30.85,54.93,1.643,93.1,44.32,0.0,,,A09
2024-07-20,1230,35.92,37.84,2.081,100.4,870.0,0.0,,,A09
2024-07-20,600,23.83,48.04,0.126,211.1,65.76,0.0,,,A09
2024-07-20,1130,36.05,29.18,1.333,131.0,838.0,0.0,,,A09
2024-07-20,100,25.96,38.64,0.605,27.78,0.0,0.0,,,A09
2024-07-20,130,26.03,36.88,0.581,30.56,0.0,0.0,,,A09
2024-07-20,200,26.03,37.64,0.441,348.7,0.0,0.0,,,A09
2024-07-20,230,25.85,35.25,0.331,329.9,0.0,0.0,,,A09
2024-07-20,300,24.82,37.93,0.562,308.3,0.0,0.0,,,A09
2024-07-20,330,24.96,37.62,0.391,317.6,0.011,0.0,,,A09
2024-07-20,400,24.96,39.23,0.415,321.6,0.009,0.0,,,A09
2024-07-20,430,24.65,40.77,0.301,327.9,0.02,0.0,,,A09
2024-07-20,500,24.14,45.06,0.184,315.9,1.737,0.0,,,A09
2024-07-20,530,24.32,45.0,0.321,354.1,19.92,0.0,,,A09
2024-07-20,30,26.88,35.23,0.16,341.0,0.0,0.0,,,A09
2024-07-20,630,25.23,44.55,0.155,79.3,130.4,0.0,,,A09
2024-07-20,700,26.75,39.99,0.401,174.2,197.2,0.0,,,A09
2024-07-20,730,27.59,38.06,0.68,175.2,274.8,0.0,,,A09
2024-07-20,800,28.11,38.34,1.049,206.6,382.0,0.0,,,A09
2024-07-20,830,28.82,36.67,1.028,209.6,486.3,0.0,,,A09
2024-07-20,900,30.72,32.22,1.235,219.7,568.1,0.0,,,A09
2024-07-20,930,31.81,31.35,1.092,201.4,644.6,0.0,,,A09
2024-07-20,1000,33.12,28.85,0.835,209.8,713.0,0.0,,,A09
2024-07-20,1030,34.41,28.6,1.134,167.5,769.0,0.0,,,A09
2024-07-20,1100,35.23,27.68,1.298,185.1,814.0,0.0,,,A09
2024-07-20,1200,36.39,36.16,1.645,134.7,850.0,0.0,,,A09
2024-07-21,1700,30.19,45.66,2.212,104.2,391.1,0.0,,,A09
2024-07-21,1630,31.02,46.57,2.416,102.1,476.7,0.0,,,A09
2024-07-21,1600,31.8,46.93,2.004,120.2,559.3,0.0,,,A09
2024-07-21,1330,32.76,45.66,2.645,99.4,839.0,0.0,,,A09
2024-07-21,1500,32.18,44.99,2.477,106.5,701.0,0.0,,,A09
2024-07-21,1430,32.36,43.29,2.779,100.0,761.0,0.0,,,A09
2024-07-21,1400,32.4,43.92,2.477,104.3,806.0,0.0,,,A09
2024-07-21,1730,29.91,47.34,2.126,101.6,296.6,0.0,,,A09
2024-07-21,1530,31.85,45.99,2.209,118.4,633.5,0.0,,,A09
2024-07-21,1800,29.11,50.22,2.281,96.1,208.4,0.0,,,A09
2024-07-21,2100,26.45,72.4,2.156,71.7,0.012,0.0,,,A09
2024-07-21,1900,28.51,56.85,1.431,101.3,40.21,0.0,,,A09
2024-07-21,1930,27.64,63.48,1.586,97.6,8.21,0.0,,,A09
2024-07-21,2000,26.77,71.7,1.901,89.5,0.589,0.0,,,A09
2024-07-21,2030,26.49,73.3,1.906,86.3,0.016,0.0,,,A09
2024-07-21,2130,26.3,72.7,2.283,66.56,0.0,0.0,,,A09
2024-07-21,2200,26.25,73.0,2.317,58.97,0.0,0.0,,,A09
2024-07-21,2230,26.07,77.2,2.173,59.05,0.0,0.0,,,A09
2024-07-21,2300,26.03,80.3,1.669,68.95,0.0,0.0,,,A09
2024-07-21,2330,26.19,79.2,1.584,86.7,0.0,0.0,,,A09
2024-07-21,1300,32.83,44.34,2.594,100.5,860.0,0.0,,,A09
2024-07-21,1830,28.89,53.01,1.532,103.4,130.6,0.0,,,A09
2024-07-21,1230,33.32,42.6,2.518,102.4,870.0,0.0,,,A09
2024-07-21,2400,25.99,79.8,2.058,86.0,0.0,0.0,,,A09
2024-07-21,1130,33.87,43.33,3.025,106.0,851.0,0.0,,,A09
2024-07-21,30,26.05,72.6,0.775,307.0,0.0,0.0,,,A09
2024-07-21,100,25.78,72.6,0.498,313.4,0.0,0.0,,,A09
2024-07-21,130,26.01,70.6,0.421,328.8,0.0,0.0,,,A09
2024-07-21,200,25.67,69.05,0.6,50.02,0.0,0.0,,,A09
2024-07-21,230,25.76,61.58,0.473,349.6,0.0,0.0,,,A09
2024-07-21,300,26.45,50.26,0.558,330.6,0.0,0.0,,,A09
2024-07-21,330,25.81,54.21,0.714,346.2,0.004,0.0,,,A09
