Fecha,HoraMin,TempMedia,HumedadMedia,VelViento,DirViento,Radiacion,Precipitacion,TempSuelo1,TempSuelo2,Estacion
2025-02-12,30,10.44,89.3,0.38,330.3,0.0,0.0,,,A09
2025-02-12,1330,19.8,43.76,1.849,326.5,627.2,0.0,,,A09
2025-02-12,1400,19.97,41.79,1.394,342.4,419.9,0.0,,,A09
2025-02-12,1430,19.63,40.06,1.389,335.5,483.0,0.0,,,A09
2025-02-12,1500,20.47,38.05,2.087,318.4,395.8,0.0,,,A09
2025-02-12,1530,18.86,39.7,3.472,318.5,158.1,0.0,,,A09
2025-02-12,1600,18.41,39.65,3.382,320.0,201.4,0.0,,,A09
2025-02-12,1630,18.57,41.06,1.694,322.3,71.7,0.0,,,A09
2025-02-12,1700,18.42,42.45,1.812,310.9,34.34,0.0,,,A09
2025-02-12,1730,17.87,44.53,1.831,300.1,16.7,0.0,,,A09
2025-02-12,1830,16.85,46.25,1.405,320.3,0.0,0.0,,,A09
2025-02-12,1900,16.47,49.07,1.625,319.9,0.0,0.0,,,A09
2025-02-12,1930,16.32,51.06,1.491,316.0,0.0,0.0,,,A09
2025-02-12,2000,16.3,50.06,1.046,293.7,0.0,0.0,,,A09
2025-02-12,2030,16.25,48.5,1.042,333.6,0.0,0.0,,,A09
2025-02-12,2100,16.21,48.74,0.821,274.2,0.0,0.0,,,A09
2025-02-12,2130,15.54,50.78,0.531,275.6,0.0,0.0,,,A09
2025-02-12,2200,14.76,52.06,0.521,34.22,0.0,0.0,,,A09
2025-02-12,2230,13.94,53.87,0.566,37.75,0.0,0.0,,,A09
2025-02-12,2300,13.67,58.05,1.093,36.13,0.0,0.0,,,A09
2025-02-12,2330,14.56,54.65,0.728,339.9,0.0,0.0,,,A09
2025-02-12,2400,13.83,56.64,0.55,19.79,0.0,0.0,,,A09
2025-02-12,1300,18.49,47.21,1.752,324.4,331.1,0.0,,,A09
2025-02-12,1230,20.71,37.97,2.075,269.4,293.2,0.0,,,A09
2025-02-12,1800,17.2,44.91,1.049,321.3,2.869,0.0,,,A09
2025-02-12,1130,19.22,47.98,1.745,233.0,477.4,0.0,,,A09
2025-02-12,1200,20.31,41.06,1.828,235.5,618.6,0.0,,,A09
2025-02-12,130,8.45,90.2,0.229,28.29,0.0,0.0,,,A09
2025-02-12,200,8.34,91.8,0.255,353.0,0.0,0.0,,,A09
2025-02-12,230,9.01,92.3,0.397,312.2,0.0,0.0,,,A09
2025-02-12,300,8.41,92.9,0.444,318.9,0.0,0.0,,,A09
2025-02-12,330,8.68,93.1,0.348,332.1,0.0,0.0,,,A09
2025-02-12,400,9.06,92.7,0.497,15.99,0.0,0.0,,,A09
2025-02-12,430,9.1,92.2,0.137,331.5,0.0,0.0,,,A09
2025-02-12,500,9.17,92.1,0.117,314.8,0.0,0.0,,,A09
2025-02-12,530,8.7,91.5,0.157,300.4,0.0,0.0,,,A09
2025-02-12,600,8.66,92.3,0.244,324.2,0.0,0.0,,,A09
2025-02-12,100,9.8,89.6,0.081,271.4,0.0,0.0,,,A09
2025-02-12,700,8.12,92.2,0.22,320.1,1.246,0.0,,,A09
2025-02-12,730,7.9,92.5,0.137,3.91,19.16,0.0,,,A09
2025-02-12,800,8.81,93.4,0.216,332.1,89.1,0.0,,,A09
2025-02-12,830,10.42,90.2,0.38,184.0,164.5,0.0,,,A09
2025-02-12,900,11.46,84.3,0.426,225.5,264.9,0.0,,,A09
2025-02-12,930,13.08,78.5,0.84,226.5,295.6,0.0,,,A09
2025-02-12,1000,13.99,74.7,1.185,237.4,418.8,0.0,,,A09
2025-02-12,1030,15.39,68.38,1.121,258.3,349.4,0.0,,,A09
2025-02-12,1100,16.98,59.7,1.255,234.7,516.2,0.0,,,A09
2025-02-12,630,8.48,91.9,0.165,301.0,0.0,0.0,,,A09
2025-02-13,1300,19.91,31.8,1.461,220.4,544.4,0.0,,,A09
2025-02-13,1700,16.16,57.63,1.386,105.1,55.66,0.0,,,A09
2025-02-13,1630,17.41,48.54,1.251,122.4,82.0,0.0,,,A09
2025-02-13,1600,17.85,44.49,1.271,145.0,265.1,0.0,,,A09
2025-02-13,1330,19.98,31.33,1.527,240.9,556.4,0.0,,,A09
2025-02-13,1500,19.87,32.42,1.579,176.5,393.8,0.0,,,A09
2025-02-13,1430,20.18,30.35,1.504,181.2,466.0,0.0,,,A09
2025-02-13,1400,20.0,31.31,1.688,192.4,518.3,0.0,,,A09
2025-02-13,1730,15.46,62.36,1.067,116.1,29.37,0.0,,,A09
2025-02-13,1530,18.75,38.3,1.793,168.6,319.2,0.0,,,A09
2025-02-13,1830,13.81,69.54,1.014,64.24,0.0,0.0,,,A09
2025-02-13,2100,11.64,80.1,0.285,340.2,0.0,0.0,,,A09
2025-02-13,1930,12.91,76.0,0.759,41.31,0.0,0.0,,,A09
2025-02-13,2000,12.62,77.8,0.595,21.12,0.0,0.0,,,A09
2025-02-13,2030,12.24,78.7,0.657,10.59,0.0,0.0,,,A09
2025-02-13,2130,11.27,82.0,0.266,318.7,0.0,0.0,,,A09
2025-02-13,2200,11.23,82.5,0.194,318.6,0.0,0.0,,,A09
2025-02-13,2230,11.03,83.1,0.091,321.6,0.0,0.0,,,A09
2025-02-13,2300,11.03,83.6,0.308,339.7,0.0,0.0,,,A09
2025-02-13,2330,10.65,83.0,0.367,327.1,0.0,0.0,,,A09
2025-02-13,2400,10.22,81.1,0.181,336.0,0.0,0.0,,,A09
2025-02-13,1900,13.26,73.3,1.326,47.49,0.0,0.0,,,A09
2025-02-13,1230,19.51,32.98,1.459,221.6,573.6,0.0,,,A09
2025-02-13,1800,14.59,63.15,0.483,102.5,4.257,0.0,,,A09
2025-02-13,1130,18.28,34.6,1.128,14.15,570.5,0.0,,,A09
2025-02-13,100,12.69,59.39,0.561,26.39,0.0,0.0,,,A09
2025-02-13,130,13.34,57.12,0.397,301.0,0.0,0.0,,,A09
2025-02-13,200,12.16,61.17,0.53,276.3,0.0,0.0,,,A09
2025-02-13,230,11.24,64.75,0.359,332.9,0.0,0.0,,,A09
2025-02-13,300,11.2,65.0,0.477,36.81,0.0,0.0,,,A09
2025-02-13,330,10.38,67.62,0.465,13.01,0.0,0.0,,,A09
2025-02-13,400,9.86,68.29,0.345,59.19,0.0,0.0,,,A09
2025-02-13,430,10.76,65.22,0.706,68.57,0.0,0.0,,,A09
2025-02-13,500,10.4,65.11,0.225,333.3,0.0,0.0,,,A09
2025-02-13,530,10.33,66.32,0.859,48.3,0.0,0.0,,,A09
2025-02-13,600,10.67,63.35,0.771,179.7,0.0,0.0,,,A09
2025-02-13,30,12.98,57.76,0.502,130.7,0.0,0.0,,,A09
2025-02-13,630,9.91,66.25,0.581,44.08,0.0,0.0,,,A09
2025-02-13,1100,17.86,37.08,0.992,243.1,537.0,0.0,,,A09
2025-02-13,1030,16.7,40.01,1.17,232.8,486.2,0.0,,,A09
2025-02-13,1000,16.2,43.15,0.99,246.1,423.3,0.0,,,A09
2025-02-13,930,15.28,46.64,0.957,200.5,351.1,0.0,,,A09
2025-02-13,1200,19.23,32.98,1.042,308.4,582.8,0.0,,,A09
2025-02-13,830,13.16,53.66,0.45,177.0,187.1,0.0,,,A09
2025-02-13,800,11.36,61.04,0.336,316.3,111.4,0.0,,,A09
2025-02-13,730,10.51,63.03,0.358,355.9,28.94,0.0,,,A09
2025-02-13,700,10.71,62.3,0.641,125.8,2.063,0.0,,,A09
2025-02-13,900,14.11,49.84,0.743,128.4,273.1,0.0,,,A09
2025-02-14,1300,22.14,33.2,1.972,221.5,580.9,0.0,,,A09
2025-02-14,1330,22.68,32.24,1.651,227.7,560.2,0.0,,,A09
2025-02-14,1400,22.99,31.28,1.65,226.3,494.4,0.0,,,A09
2025-02-14,1430,23.22,30.84,1.68,222.7,424.5,0.0,,,A09
2025-02-14,1500,23.33,30.61,1.835,216.7,341.1,0.0,,,A09
2025-02-14,1530,23.19,30.5,2.137,211.1,302.9,0.0,,,A09
2025-02-14,1600,23.11,30.9,2.025,211.6,191.7,0.0,,,A09
2025-02-14,1630,22.53,32.92,1.505,189.0,74.5,0.0,,,A09
2025-02-14,1700,21.23,40.05,0.882,166.3,34.8,0.0,,,A09
2025-02-14,1730,20.04,42.67,0.512,177.5,18.47,0.0,,,A09
2025-02-14,1800,18.94,44.84,1.099,60.17,3.457,0.0,,,A09
2025-02-14,1900,17.11,50.41,0.618,47.0,0.0,0.0,,,A09
2025-02-14,1930,15.93,52.6,0.556,351.5,0.0,0.0,,,A09
2025-02-14,2000,15.27,54.82,0.353,331.5,0.0,0.0,,,A09
2025-02-14,2400,11.9,64.69,0.276,2.909,0.0,0.0,,,A09
2025-02-14,2100,14.56,55.39,0.526,336.5,0.0,0.0,,,A09
2025-02-14,2130,14.67,54.14,0.352,342.8,0.0,0.0,,,A09
2025-02-14,2200,13.53,57.54,0.053,1.584,0.0,0.0,,,A09
2025-02-14,2230,12.64,62.81,0.187,338.3,0.0,0.0,,,A09
2025-02-14,2300,12.47,62.08,0.166,327.7,0.0,0.0,,,A09
2025-02-14,2330,11.91,64.57,0.101,351.6,0.0,0.0,,,A09
2025-02-14,1230,21.94,33.21,1.591,237.6,598.7,0.0,,,A09
2025-02-14,1830,18.28,45.83,0.772,57.59,0.0,0.0,,,A09
2025-02-14,2030,14.83,55.84,0.575,344.2,0.0,0.0,,,A09
2025-02-14,1200,21.17,35.93,1.4,244.3,586.0,0.0,,,A09
2025-02-14,1100,19.04,41.28,1.181,228.7,533.8,0.0,,,A09
2025-02-14,1130,20.09,38.06,1.597,220.0,561.6,0.0,,,A09
2025-02-14,30,9.59,83.4,0.152,339.4,0.0,0.0,,,A09
2025-02-14,100,10.02,82.3,0.296,331.9,0.0,0.0,,,A09
2025-02-14,130,9.24,83.1,0.5,43.6,0.0,0.0,,,A09
2025-02-14,200,9.59,83.0,0.299,4.801,0.0,0.0,,,A09
2025-02-14,230,9.15,82.8,0.371,329.4,0.0,0.0,,,A09
2025-02-14,330,8.05,83.3,0.185,347.0,0.0,0.0,,,A09
2025-02-14,400,8.32,83.6,0.297,4.382,0.0,0.0,,,A09
2025-02-14,430,7.99,83.2,0.271,339.6,0.0,0.0,,,A09
2025-02-14,500,7.52,84.8,0.317,13.26,0.0,0.0,,,A09
2025-02-14,300,8.28,83.1,0.219,2.681,0.0,0.0,,,A09
2025-02-14,600,7.14,86.3,0.416,4.05,0.0,0.0,,,A09
2025-02-14,630,7.08,87.0,0.351,20.86,0.005,0.0,,,A09
2025-02-14,700,7.21,87.4,0.384,41.5,2.595,0.0,,,A09
2025-02-14,730,7.41,86.2,0.479,325.0,32.79,0.0,,,A09
2025-02-14,800,8.39,82.5,0.304,291.6,104.1,0.0,,,A09
2025-02-14,830,10.65,74.8,0.366,179.9,180.5,0.0,,,A09
2025-02-14,900,12.18,65.7,0.477,210.0,269.8,0.0,,,A09
2025-02-14,930,13.64,59.4,0.754,245.7,346.8,0.0,,,A09
2025-02-14,1000,15.35,52.51,1.001,210.4,419.4,0.0,,,A09
2025-02-14,530,7.55,86.8,0.203,339.8,0.0,0.0,,,A09
2025-02-14,1030,17.26,47.03,1.098,247.4,482.6,0.0,,,A09
2025-02-15,1730,15.21,79.6,0.654,128.2,18.39,0.0,,,A09
2025-02-15,1700,15.5,78.4,0.988,118.0,47.02,0.0,,,A09
2025-02-15,1630,15.69,76.6,1.417,119.0,73.2,0.0,,,A09
2025-02-15,1600,16.89,70.1,1.555,126.3,149.8,0.0,,,A09
2025-02-15,1330,19.69,48.72,2.798,90.2,580.0,0.0,,,A09
2025-02-15,1500,18.95,47.79,1.494,133.3,407.8,0.0,,,A09
2025-02-15,1430,19.4,49.26,2.031,113.5,494.2,0.0,,,A09
2025-02-15,1400,19.55,48.08,2.329,100.9,549.1,0.0,,,A09
2025-02-15,1800,14.92,81.6,0.485,110.2,2.103,0.0,,,A09
2025-02-15,1530,17.91,64.68,1.733,127.7,331.4,0.0,,,A09
2025-02-15,1830,14.32,83.4,0.089,103.5,0.0,0.0,,,A09
2025-02-15,2400,11.07,87.8,0.202,333.0,0.0,0.0,,,A09
2025-02-15,1930,13.53,87.0,0.029,340.4,0.0,0.0,,,A09
2025-02-15,2000,13.2,88.4,0.091,342.6,0.0,0.0,,,A09
2025-02-15,2030,12.53,88.0,0.228,348.3,0.0,0.0,,,A09
2025-02-15,2100,12.1,87.2,0.237,344.5,0.0,0.0,,,A09
2025-02-15,2130,11.84,87.0,0.255,330.1,0.0,0.0,,,A09
2025-02-15,2200,11.89,86.7,0.276,340.9,0.0,0.0,,,A09
2025-02-15,2230,11.73,86.3,0.288,343.5,0.0,0.0,,,A09
2025-02-15,2300,11.53,86.5,0.296,330.7,0.0,0.0,,,A09
2025-02-15,2330,11.4,87.2,0.234,335.4,0.0,0.0,,,A09
2025-02-15,1300,20.6,43.77,2.65,94.4,605.8,0.0,,,A09
2025-02-15,1900,13.95,85.6,0.009,5.644,0.0,0.0,,,A09
2025-02-15,1230,20.96,43.54,2.193,101.1,612.1,0.0,,,A09
