datetime,local,visitante,competicion,temporada_slug,jornada,evento_importante
2024-01-02 20:30:00,val,vil,laliga_ea_sports,laliga_easports_2023,19,True
2024-01-03 20:30:00,gir,atm,laliga_ea_sports,laliga_easports_2023,19,True
2024-01-04 20:30:00,lpa,bar,laliga_ea_sports,laliga_easports_2023,19,False
2024-01-06 15:00:00,lug,atm,copa_del_rey,copa_del_rey_2023,3,False
2024-01-06 17:30:00,fcb,llp,liga_femenina,primera_division_femenina_2023,13,False
2024-01-06 19:00:00,ala,bet,copa_del_rey,copa_del_rey_2023,3,False
2024-01-06 19:30:00,vil,lud,liga_femenina,primera_division_femenina_2023,13,False
2024-01-06 20:30:00,ara,rma,copa_del_rey,copa_del_rey_2023,3,False
2024-01-07 13:00:00,rbb,gra,liga_femenina,primera_division_femenina_2023,13,False
2024-01-07 15:00:00,cas,osa,copa_del_rey,copa_del_rey_2023,3,False
2024-01-07 15:00:00,rfe,sev,copa_del_rey,copa_del_rey_2023,3,False
2024-01-07 15:00:00,vcf,atm,liga_femenina,primera_division_femenina_2023,13,False
2024-01-07 19:00:00,sph,sfc,liga_femenina,primera_division_femenina_2023,13,False
2024-01-07 20:00:00,bar,bar,copa_del_rey,copa_del_rey_2023,3,True
2024-01-07 20:00:00,mga,rso,copa_del_rey,copa_del_rey_2023,3,False
2024-01-07 21:00:00,ten,lpa,copa_del_rey,copa_del_rey_2023,3,False
2024-01-08 15:30:00,usm,vil,copa_del_rey,copa_del_rey_2023,3,False
2024-01-10 19:00:00,rma,atm,supercopa_de_españa,supercopa_de_espana_2023,1,False
2024-01-11 19:00:00,bar,osa,supercopa_de_españa,supercopa_de_espana_2023,1,False
2024-01-12 19:30:00,eib,rac,laliga_hypermotion,laliga_hypermotion_2023,22,False
2024-01-12 20:00:00,sev,ala,laliga_ea_sports,laliga_easports_2023,20,False
2024-01-13 13:00:00,lpa,vil,laliga_ea_sports,laliga_easports_2023,20,False
2024-01-13 13:00:00,alc,mir,laliga_hypermotion,laliga_hypermotion_2023,22,False
2024-01-13 15:00:00,mll,cel,laliga_ea_sports,laliga_easports_2023,20,False
2024-01-13 15:00:00,lev,alb,laliga_hypermotion,laliga_hypermotion_2023,22,False
2024-01-13 15:30:00,rbb,rma,copa_de_la_reina,copa_de_la_reina_2023,4,False
2024-01-13 20:00:00,bet,gra,laliga_ea_sports,laliga_easports_2023,20,False
2024-01-13 20:00:00,bur,vll,laliga_hypermotion,laliga_hypermotion_2023,22,False
2024-01-13 20:00:00,rfe,esp,laliga_hypermotion,laliga_hypermotion_2023,22,False
2024-01-13 20:00:00,ala,atm,copa_de_la_reina,copa_de_la_reina_2023,4,False
2024-01-14 13:00:00,alm,gir,laliga_ea_sports,laliga_easports_2023,20,False
2024-01-14 13:00:00,and,leg,laliga_hypermotion,laliga_hypermotion_2023,22,False
2024-01-14 14:30:00,ov2,cat,copa_de_la_reina,copa_de_la_reina_2023,4,False
2024-01-14 15:00:00,cad,val,laliga_ea_sports,laliga_easports_2023,20,False
2024-01-14 15:00:00,car,vil,laliga_hypermotion,laliga_hypermotion_2023,22,False
2024-01-14 15:00:00,spo,hue,laliga_hypermotion,laliga_hypermotion_2023,22,False
2024-01-14 19:00:00,rma,bar,supercopa_de_españa,supercopa_de_espana_2023,2,False
2024-01-15 19:30:00,eld,zar,laliga_hypermotion,laliga_hypermotion_2023,22,False
2024-01-16 19:00:00,get,sev,copa_del_rey,copa_del_rey_2023,4,False
2024-01-16 20:00:00,ath,ala,copa_del_rey,copa_del_rey_2023,4,False
2024-01-16 21:00:00,ten,mll,copa_del_rey,copa_del_rey_2023,4,False
2024-01-17 19:00:00,val,cel,copa_del_rey,copa_del_rey_2023,4,False
2024-01-17 20:00:00,osa,rso,copa_del_rey,copa_del_rey_2023,4,False
2024-01-17 20:30:00,gir,ray,copa_del_rey,copa_del_rey_2023,4,False
2024-01-18 18:30:00,usm,bar,copa_del_rey,copa_del_rey_2023,4,False
2024-01-18 20:30:00,atm,rma,copa_del_rey,copa_del_rey_2023,4,True
2024-01-19 20:00:00,ala,cad,laliga_ea_sports,laliga_easports_2023,21,False
2024-01-20 13:00:00,ray,lpa,laliga_ea_sports,laliga_easports_2023,21,False
2024-01-20 13:00:00,llp,rso,liga_femenina,primera_division_femenina_2023,14,False
2024-01-20 13:00:00,alb,alc,laliga_hypermotion,laliga_hypermotion_2023,23,False
2024-01-20 15:00:00,vil,mll,laliga_ea_sports,laliga_easports_2023,21,False
2024-01-20 15:00:00,amo,eld,laliga_hypermotion,laliga_hypermotion_2023,23,False
2024-01-20 15:00:00,zar,and,laliga_hypermotion,laliga_hypermotion_2023,23,False
2024-01-20 15:30:00,mad,rbb,liga_femenina,primera_division_femenina_2023,14,False
2024-01-20 20:00:00,cel,rso,laliga_ea_sports,laliga_easports_2023,21,False
2024-01-20 20:00:00,rfe,ovi,laliga_hypermotion,laliga_hypermotion_2023,23,False
2024-01-21 13:00:00,osa,get,laliga_ea_sports,laliga_easports_2023,21,False
2024-01-21 13:00:00,gra,sph,liga_femenina,primera_division_femenina_2023,14,False
2024-01-21 13:00:00,rac,car,laliga_hypermotion,laliga_hypermotion_2023,23,False
2024-01-21 15:00:00,rma,alm,laliga_ea_sports,laliga_easports_2023,21,False
2024-01-21 15:00:00,mir,lev,laliga_hypermotion,laliga_hypermotion_2023,23,False
2024-01-21 15:30:00,eib,vcf,liga_femenina,primera_division_femenina_2023,14,False
