local,visitante,competicion,temporada_slug,jornada,datetime
get,ray,laliga_ea_sports,laliga_easports_2023,19,2024-01-02 16:00:00
rso,ala,laliga_ea_sports,laliga_easports_2023,19,2024-01-02 18:15:00
val,vil,laliga_ea_sports,laliga_easports_2023,19,2024-01-02 20:30:00
gra,cad,laliga_ea_sports,laliga_easports_2023,19,2024-01-03 16:00:00
cel,bet,laliga_ea_sports,laliga_easports_2023,19,2024-01-03 18:15:00
rma,mll,laliga_ea_sports,laliga_easports_2023,19,2024-01-03 18:15:00
gir,atm,laliga_ea_sports,laliga_easports_2023,19,2024-01-03 20:30:00
osa,alm,laliga_ea_sports,laliga_easports_2023,19,2024-01-04 16:00:00
sev,ath,laliga_ea_sports,laliga_easports_2023,19,2024-01-04 18:15:00
lpa,bar,laliga_ea_sports,laliga_easports_2023,19,2024-01-04 20:30:00
lug,atm,copa_del_rey,copa_del_rey_2023,3,2024-01-06 15:00:00
esp,get,copa_del_rey,copa_del_rey_2023,3,2024-01-06 16:00:00
elc,gir,copa_del_rey,copa_del_rey_2023,3,2024-01-06 17:00:00
fcb,llp,liga_femenina,primera_division_femenina_2023,13,2024-01-06 17:30:00
hue,ray,copa_del_rey,copa_del_rey_2023,3,2024-01-06 18:00:00
ala,bet,copa_del_rey,copa_del_rey_2023,3,2024-01-06 19:00:00
vil,lud,liga_femenina,primera_division_femenina_2023,13,2024-01-06 19:30:00
ara,rma,copa_del_rey,copa_del_rey_2023,3,2024-01-06 20:30:00
amo,cel,copa_del_rey,copa_del_rey_2023,3,2024-01-07 11:00:00
bur,mll,copa_del_rey,copa_del_rey_2023,3,2024-01-07 11:00:00
ath,eib,liga_femenina,primera_division_femenina_2023,13,2024-01-07 11:00:00
rso,cat,liga_femenina,primera_division_femenina_2023,13,2024-01-07 11:00:00
rbb,gra,liga_femenina,primera_division_femenina_2023,13,2024-01-07 13:00:00
cas,osa,copa_del_rey,copa_del_rey_2023,3,2024-01-07 15:00:00
rfe,sev,copa_del_rey,copa_del_rey_2023,3,2024-01-07 15:00:00
vcf,atm,liga_femenina,primera_division_femenina_2023,13,2024-01-07 15:00:00
rma,mad,liga_femenina,primera_division_femenina_2023,13,2024-01-07 17:00:00
eib,ath,copa_del_rey,copa_del_rey_2023,3,2024-01-07 18:00:00
car,val,copa_del_rey,copa_del_rey_2023,3,2024-01-07 18:00:00
sph,sfc,liga_femenina,primera_division_femenina_2023,13,2024-01-07 19:00:00
bar,bar,copa_del_rey,copa_del_rey_2023,3,2024-01-07 20:00:00
mga,rso,copa_del_rey,copa_del_rey_2023,3,2024-01-07 20:00:00
ten,lpa,copa_del_rey,copa_del_rey_2023,3,2024-01-07 21:00:00
usm,vil,copa_del_rey,copa_del_rey_2023,3,2024-01-08 15:30:00
