Fecha,HoraMin,TempMedia,HumedadMedia,VelViento,DirViento,Radiacion,Precipitacion,TempSuelo1,TempSuelo2,Estacion
2023-12-31,30,8.54,92.0,0.454,320.0,0.0,0.0,,,A09
2023-12-31,100,7.67,91.8,0.19,298.1,0.0,0.0,,,A09
2023-12-31,130,7.18,92.6,0.436,32.32,0.0,0.0,,,A09
2023-12-31,200,6.8,92.9,0.602,332.5,0.0,0.0,,,A09
2023-12-31,230,5.817,93.7,0.461,2.376,0.0,0.0,,,A09
2023-12-31,300,5.931,94.2,0.773,358.6,0.0,0.0,,,A09
2023-12-31,330,5.666,93.4,0.253,315.6,0.0,0.0,,,A09
2023-12-31,400,5.22,92.7,0.577,321.5,0.0,0.0,,,A09
2023-12-31,430,5.868,90.3,0.237,318.9,0.0,0.0,,,A09
2023-12-31,500,5.958,90.4,0.262,27.8,0.0,0.0,,,A09
2023-12-31,530,6.293,89.4,0.526,13.13,0.0,0.0,,,A09
2023-12-31,600,5.667,86.8,0.264,5.14,0.005,0.0,,,A09
2023-12-31,630,5.018,89.3,0.564,325.6,0.002,0.0,,,A09
2023-12-31,700,5.086,84.6,0.152,230.2,0.098,0.0,,,A09
2023-12-31,730,4.571,88.0,0.444,330.9,5.519,0.0,,,A09
2023-12-31,800,5.354,83.7,0.858,321.2,23.78,0.0,,,A09
2023-12-31,830,7.26,77.2,0.327,327.3,58.22,0.199,,,A09
2023-12-31,900,6.986,81.6,0.135,95.8,94.6,0.0,,,A09
2023-12-31,930,8.35,79.3,0.39,116.7,200.5,0.0,,,A09
2023-12-31,1000,10.2,69.83,0.562,215.3,261.1,0.0,,,A09
2023-12-31,1030,11.17,63.78,0.701,256.6,230.5,0.0,,,A09
2023-12-31,1100,12.28,56.22,0.563,245.4,301.7,0.0,,,A09
2023-12-31,1130,14.24,47.69,0.529,183.4,355.0,0.0,,,A09
2023-12-31,1200,15.82,42.03,0.783,239.6,335.2,0.0,,,A09
2023-12-31,1230,16.79,37.94,1.124,224.5,363.3,0.0,,,A09
2023-12-31,1300,18.17,32.88,0.891,228.4,362.5,0.0,,,A09
2023-12-31,1330,18.17,34.71,1.036,190.3,302.7,0.0,,,A09
2023-12-31,1400,18.66,34.47,1.608,208.5,329.9,0.0,,,A09
2023-12-31,1430,19.55,33.26,1.316,209.2,297.0,0.0,,,A09
2023-12-31,1500,20.06,32.81,0.702,232.5,167.2,0.0,,,A09
2023-12-31,1530,19.17,33.68,1.125,191.5,118.5,0.0,,,A09
2023-12-31,1600,18.17,36.1,0.366,147.3,60.59,0.0,,,A09
2023-12-31,1630,17.21,40.3,0.841,76.0,27.2,0.0,,,A09
2023-12-31,1700,17.4,45.96,0.698,35.26,5.05,0.0,,,A09
2023-12-31,1730,16.94,49.67,0.411,302.1,0.164,0.0,,,A09
2023-12-31,1800,15.48,51.1,0.494,152.7,0.0,0.0,,,A09
2023-12-31,1830,15.39,50.23,0.233,222.1,0.0,0.0,,,A09
2023-12-31,1900,14.71,51.02,0.509,45.13,0.0,0.0,,,A09
2023-12-31,1930,14.65,50.83,0.378,310.3,0.0,0.0,,,A09
2023-12-31,2000,13.67,56.02,0.438,323.3,0.0,0.0,,,A09
2023-12-31,2030,13.67,56.51,0.648,39.6,0.0,0.0,,,A09
2023-12-31,2100,13.11,57.33,0.59,306.6,0.0,0.0,,,A09
2023-12-31,2130,13.07,57.13,0.534,9.68,0.0,0.0,,,A09
2023-12-31,2200,13.74,55.35,0.552,320.3,0.0,0.0,,,A09
2023-12-31,2230,12.62,58.94,0.721,333.5,0.0,0.0,,,A09
2023-12-31,2300,13.07,57.42,0.662,14.87,0.0,0.0,,,A09
2023-12-31,2330,13.71,56.6,1.087,349.2,0.0,0.0,,,A09
2023-12-31,2400,13.87,55.57,1.011,151.8,0.0,0.0,,,A09
2024-01-01,30,12.42,60.2,0.398,215.8,0.0,0.0,,,A09
2024-01-01,100,11.59,62.68,0.712,47.6,0.0,0.0,,,A09
2024-01-01,130,11.61,64.47,0.553,353.6,0.0,0.0,,,A09
2024-01-01,200,11.55,64.32,0.508,8.41,0.0,0.0,,,A09
2024-01-01,230,10.99,66.0,0.504,302.5,0.0,0.0,,,A09
2024-01-01,300,11.26,65.12,0.751,290.7,0.0,0.0,,,A09
2024-01-01,330,11.2,65.95,0.485,312.5,0.0,0.0,,,A09
2024-01-01,400,10.68,66.51,0.577,215.7,0.0,0.0,,,A09
2024-01-01,430,10.26,68.5,0.597,12.2,0.0,0.0,,,A09
2024-01-01,500,9.83,70.5,0.438,25.44,0.0,0.0,,,A09
2024-01-01,530,9.41,72.4,0.672,52.82,0.0,0.0,,,A09
2024-01-01,600,9.86,70.4,0.488,99.2,0.0,0.0,,,A09
2024-01-01,630,9.28,72.5,0.131,46.85,0.0,0.0,,,A09
2024-01-01,700,9.03,73.7,0.011,85.6,0.0,0.0,,,A09
2024-01-01,730,8.86,74.4,0.025,85.6,1.101,0.0,,,A09
2024-01-01,800,8.97,73.7,0.413,50.72,12.02,0.0,,,A09
2024-01-01,830,9.3,73.4,0.29,44.96,30.34,0.0,,,A09
2024-01-01,900,9.62,73.2,0.241,38.3,52.01,0.0,,,A09
2024-01-01,930,10.17,71.0,0.479,103.3,65.31,0.0,,,A09
2024-01-01,1000,10.61,69.46,0.262,67.32,101.1,0.0,,,A09
2024-01-01,1030,11.95,66.12,0.309,173.4,187.3,0.0,,,A09
2024-01-01,1100,13.2,61.58,0.943,206.4,186.0,0.0,,,A09
2024-01-01,1130,14.06,59.22,0.975,216.9,224.0,0.0,,,A09
2024-01-01,1200,14.81,56.78,0.901,231.4,370.4,0.0,,,A09
2024-01-01,1230,16.6,50.57,1.078,189.9,434.1,0.0,,,A09
2024-01-01,1300,17.37,48.34,1.487,210.0,422.9,0.0,,,A09
2024-01-01,1330,17.7,47.47,1.459,250.2,402.4,0.0,,,A09
2024-01-01,1400,18.53,35.82,1.578,314.4,381.7,0.0,,,A09
2024-01-01,1430,18.71,35.57,1.289,301.5,334.6,0.0,,,A09
2024-01-01,1500,18.82,34.19,0.9,301.7,272.5,0.0,,,A09
2024-01-01,1530,18.57,32.47,1.227,319.0,209.9,0.0,,,A09
2024-01-01,1600,18.12,33.75,0.75,315.1,52.48,0.0,,,A09
2024-01-01,1630,17.3,36.1,0.394,356.2,20.48,0.0,,,A09
